"","lfc","q"
"CLEC4F",-1.45712708,0.006974238
"LINC00898",-1.089390931,0.002602596
"LOC101929719",-1.166503914,0.000687704
"MAS1",-0.735606726,0.0378
"SLC6A5",-0.662461136,0.032236147
"PPEF1",-0.901819438,0.00338
"LOC100506274",-0.648368418,0.0174
"ALB",-0.815291917,0.016479256
"TAC1",-0.776310442,0.0495
"RPH3A",-0.523527328,0.025725066
"ALOX12B",-0.823307631,0.00227
"SOWAHB",-0.818513518,0.0299
"TPH1",-0.735211915,0.017935625
"MYLK2",-0.903256685,0.000681713
"ADRA1D",-0.796908039,0.015094134
"FBLN7",-0.7374448,0.0126
"LINC00943",-0.786526527,0.036659922
"ARL4D",-0.628055457,0.003560401
"PRMT8",-0.501085352,0.030855073
"HHLA2",-0.911985126,0.012179344
"SPRED3",-0.913785284,0.002998565
"CLDN16",-0.918827836,0.000495
"LYRM9",-0.569528435,0.004029513
"SPDEF",-0.729937261,0.00279
"RBM3",-0.828744382,2.82e-05
"CRYM",-0.817599872,0.000245532
"SYP",-0.537277958,0.018838608
"LPA",-0.668772659,0.0265
"HMGCS1",-0.564795508,0.008316992
"LRRC73",-0.534912111,0.027493779
"PCYOX1L",-0.660240071,4.28e-06
"CCKBR",-0.491272856,0.034854525
"RIIAD1",-0.435939597,0.036617446
"WNT1",-0.876393687,0.033819814
"CHRM4",-0.726536248,0.049950759
"SVOP",-0.693991071,0.00751
"LOC102724532",-0.486575224,0.005037721
"LRTM2",-0.815451623,0.000712291
"F7",-0.83384473,0.000657993
"ZNF449",-0.451616738,0.009118256
"C2orf16",-0.532201333,0.030091589
"ZNF860",-0.738393426,0.031614009
"KCNF1",-0.516541448,0.041727314
"SMIM10L2B",-0.7363508,0.000129797
"SCN11A",-0.527077888,0.012865737
"TARBP1",-0.621775872,0.000383682
"DIRAS1",-0.58945941,0.0116
"SYT12",-0.489513818,0.039175031
"SLC6A17",-0.604182027,0.0203
"C17orf107",-0.619443816,0.011
"KREMEN2",-0.929741325,2.01e-07
"RSAD2",-0.385644937,0.038240902
"SMIM10L2A",-0.581115161,0.000310653
"PCP4L1",-0.564476913,0.040964545
"SPEF1",-0.533567094,0.031712867
"CLSTN3",-0.502472305,0.037277876
"GPCPD1",-0.948032908,3.24e-07
"ANXA6",-0.519935462,0.009451719
"NRSN2",-0.378940645,0.017931399
"CALM3",-0.449292168,0.01765219
"PNPLA3",-0.960760786,0.010677324
"ZNF596",-0.505082162,0.009145229
"GPRASP1",-0.453220307,0.017935625
"RNF165",-0.416618222,0.044927483
"EXOC3L1",-0.488540397,0.004055544
"RELL2",-0.598227575,0.00616
"NCR3LG1",-0.854786124,0.030936099
"CCDC113",-0.439474056,0.008669552
"CHRNB2",-0.611644092,0.00588
"GABARAPL1",-0.387515893,0.030614836
"TECTA",-0.546319828,9.95e-07
"CYP2E1",-0.409896681,0.005035213
"SLC45A1",-0.380892526,0.004963416
"FAM131A",-0.422554687,0.008049433
"TMEM241",-0.421161031,0.010292612
"COPS7A",-0.377524581,0.000830979
"PPME1",-0.261182341,0.02044034
"GSS",-0.377215602,0.000333933
"NRIP3",-0.564166633,0.015332878
"NRXN3",-0.497437846,0.028359422
"EFR3B",-0.508439312,0.00010131
"SPCS1",-0.23178443,0.010677324
"ACP2",-0.497175981,3.27e-05
"TMEM169",-0.42807771,0.008495026
"RASGRF1",-0.520569392,0.012540385
"NAPA",-0.457561268,0.000876014
"NIPSNAP1",-0.369781381,0.006221204
"CES2",-0.356245254,0.003948773
"FBXO16",-0.485901782,0.012029264
"MED29",-0.258455225,0.004692389
"BDH1",-0.389340299,0.002674137
"EML6",-0.304226441,0.029553247
"RNFT2",-0.475244758,0.000100731
"PSMB2",-0.193494661,0.011249656
"DDB1",-0.237588105,0.014564792
"COG1",-0.304174181,0.017908577
"HGSNAT",-0.36453486,0.000631711
"NEU3",-0.400074325,0.000120793
"CHP1",-0.392755781,0.00124432
"LETMD1",-0.215798103,0.002857351
"FBXO9",-0.370188682,0.039510368
"WDR46",-0.243886868,0.044273176
"CD99L2",-0.407505953,0.002508564
"ACLY",-0.363317763,0.00125626
"EIF4H",-0.24961858,0.000963994
"ZCCHC17",-0.213573847,0.048823601
"PITPNA",-0.256073167,0.047697424
"MRPL30",-0.261489064,0.013040668
"ST3GAL3",-0.291677573,0.012577333
"IMMT",-0.201339753,0.033068336
"PNPO",-0.449677504,0.001282586
"DHX57",-0.202841609,0.024134686
"PCNX2",-0.537416815,0.001380295
"MECR",-0.431360949,0.000320533
"MRPS25",-0.206278383,0.00586285
"BBS5",-0.494175615,4.63e-11
"TRIM9",-0.341665072,0.005900902
"NICN1",-0.437131743,0.000850856
"MRPS5",0.217349837,0.041211518
"PPP4R3A",0.414500597,1.18e-05
"HDGF",0.245162357,0.002276857
"PTPN21",0.259503067,0.037340749
"EXOG",-0.299523105,0.005603259
"TRIM4",0.3506691,0.00091211
"ZMYND8",0.339855209,0.000932773
"UNC119B",0.227716208,0.011140477
"RBM17",0.38429785,8.98e-08
"RELA",0.495670112,0.010636137
"HNRNPH3",0.310457477,0.001705638
"ZNF32",0.438328548,0.002329088
"ZBTB34",0.283238043,0.037295916
"PSPH",0.333221979,0.00188227
"NFKB1",0.255174192,0.022349586
"COLGALT1",0.354317436,0.021767047
"PPP1CC",0.549610726,1.33e-11
"SNHG3",0.504656291,0.000141971
"ZHX3",0.232550717,0.032993787
"ZNF143",0.371527443,3.98e-06
"AUP1",0.314072048,0.043947235
"ITPRIP",0.692319076,0.008020677
"HBP1",0.402501882,0.00566084
"TRIM8",0.361460554,0.001763358
"TAF3",0.344360176,0.000193944
"UBXN2A",0.303353338,0.001578814
"IRF2BP2",0.387334615,0.006591055
"MOB3C",0.438091658,0.037081544
"PNPT1",0.366155437,0.037404966
"SIRT1",0.449327851,0.000923919
"CTBP2",0.302155563,0.003762445
"RAB29",0.523230576,7.7e-05
"FOXN3",0.414437181,2.24e-06
"STK38",0.388085731,0.007088941
"HP1BP3",0.332837738,0.003882467
"FANCE",0.313041323,0.047661948
"PPM1D",0.323193164,0.030498832
"CCDC69",0.537799392,0.001731363
"SYS1",0.279108664,0.010682839
"CAPN2",0.624120403,5.3e-05
"FCHSD2",0.385129596,0.000406971
"RHOQ",0.544891496,1.34e-05
"ATF4",0.316847612,0.013622089
"LRP4",0.537122447,0.043185597
"PXDC1",0.647422294,0.007271476
"MXI1",0.480269074,0.000210918
"PAPOLA",0.431872573,9.24e-06
"GKAP1",0.458583413,0.000522594
"PDE4DIP",0.502233914,5.36e-05
"SMAD4",0.399987291,0.00041137
"TSC22D3",0.842306255,1.13e-07
"ID3",1.105403646,5.75e-05
"LATS2",0.797025302,0.000950884
"CARD8",0.449292544,0.015533789
"BANP",0.258126683,0.038555602
"TIMELESS",0.407672883,0.028239679
"SH2D4A",0.571595729,0.011397361
"CALML4",0.497326592,0.029804153
"ITGB8",0.617729224,0.005935064
"CDK2AP1",0.320392055,0.018768278
"RBM48",0.61405382,2.55e-05
"ITGB5",0.371330097,0.048470913
"GMPR",0.803128659,0.012467498
"RNASEH2C",0.432581761,0.001682809
"BCAR3",0.440857008,0.008575715
"CEP152",0.548501203,0.002507982
"ANAPC16",0.621973783,1.61e-07
"TP53I3",0.806282789,7.44e-06
"SASH1",0.55826374,0.002283434
"ZNF69",0.454185024,0.008182854
"DNAJB6",0.365272619,7.87e-05
"KIAA1958",0.444717154,0.036611076
"POGK",0.25017725,0.047686204
"ARL6IP6",0.453539145,0.0051389
"WEE1",0.947235623,0.00181838
"HSPB2",0.524546913,0.012858092
"IL17RB",1.152693935,1.25e-08
"CDKN2C",0.556113083,0.003024663
"SLC39A11",0.419353085,0.030039465
"NYNRIN",0.451450486,0.00376232
"STARD10",0.544653972,0.00181838
"SNRNP48",0.50201824,0.000150469
"MEX3A",0.583160169,0.020056936
"FZD9",0.651070251,0.001480927
"ANO2",1.029822734,2.39e-05
"ITGA11",0.383548882,0.016297985
"RND2",0.262113717,0.021361353
"KANK2",1.088484748,1.01e-05
"NFKBIA",1.0975264,3.32e-12
"RFTN2",0.564220905,0.027748081
"PROC",-0.50271892,0.027141946
"TLR5",1.103473159,5.7e-06
"TRIP10",1.082286978,1.96e-05
"CPQ",0.607220626,0.001954596
"JMJD6",0.508567698,0.000385873
"SAMHD1",0.499078683,0.000236151
"ATOH8",0.800124811,0.007973891
"SPDYA",0.354288446,0.031224772
"RGCC",0.589346559,0.033917477
"GYS2",0.546926179,0.035842478
"DNA2",0.510335494,0.010830728
"PRRG4",1.285638204,4.29e-06
"RAMP2-AS1",0.79457537,0.000657993
"AJUBA",0.907938033,0.001282586
"CCDC160",0.815995447,6.61e-06
"SLC25A48",0.842270311,0.001807687
"SPACA6P-AS",0.677339879,0.007131499
"RCC1",0.750115413,1.07e-05
"CCDC102A",0.76759787,0.001869578
"C21orf62",1.198410956,0.002052535
"CCDC151",0.453058981,0.017792868
"DDIT4",1.232402697,2.68e-06
"ITGA10",1.053808582,2.78e-06
"ANKRD37",0.664641268,6.36e-05
"COL8A2",0.878152203,0.037457493
"REP15",1.313781845,8.29e-05
"NUPR1",0.93632251,0.00841252
"FZD7",0.992564461,0.000110345
"TLDC2",0.657926785,0.008460365
"FKBP5",1.130012279,0.000412353
"SLC38A2",1.244556558,2.09e-12
"CLDN7",1.300727896,0.000304261
"PRKX",0.880915415,0.002541541
"SLC5A3",1.124424513,2.03e-09
"CCNA2",0.713900707,0.001824984
"C6orf118",1.069187768,1.56e-05
"SPINT1",0.610451817,0.017580208
"SMTN",0.902550138,0.002245326
"SAMD11",1.054315401,0.008592112
"KLF15",0.818298335,0.002930011
"HIF3A",0.821507408,0.019449187
"ALOX15B",1.421043017,1.72e-07
"LOC101927354",1.476780962,5.12e-05
"CYP39A1",0.788661323,0.000794319
"LINC01108",3.649575175,2.62e-07
"SCGN",1.031852546,4.5e-05
"LMNTD2",0.513137727,0.049604131
"LBX2",1.339046408,0.020646844
"GNRH1",0.821683092,2.35e-05
"S100A4",1.923857243,1.06e-07
"ADAMTS2",0.859921635,7.75e-05
"AKR1C2",1.225189136,2.82e-07
"LCN6",1.591967822,0.000260734
"AZGP1",1.161987342,0.012614462
"SLC23A3",0.782776587,0.015814718
"OLAH",1.449673861,1.85e-05
"CXCR2",2.565920474,1.16e-06
"SH2D3A",0.837217022,0.035375837
"CXCR1",3.073529641,4.89e-08
"SERPINA5",1.584703976,0.008785213
"LINC01134",0.650494453,0.04298553
"LINC00463",1.06695209,0.003171704
"LINC01068",2.160093913,0.002245683
"CYP4B1",2.537223296,4.46e-08
"MIA",1.619125561,0.008513574
"NPC1L1",1.146904912,0.049934384
